model,format,role,condition,accuracy,spearman_rho,risk_f1,hybrid_consistency,n_valid,n_total,parse_rate
1B,category,forced_answer,category__forced_answer,0.1875,-0.20269201056610386,0.43478260869565216,,48,48,1.0
1B,category,instruction_constrained,category__instruction_constrained,0.1875,0.3759948687748571,0.358974358974359,,48,48,1.0
1B,category,role_prompting,category__role_prompting,0.20833333333333334,0.6355511340392331,0.4,,48,48,1.0
1B,category,zero_shot,category__zero_shot,0.1875,0.29277002188455997,0.4,,48,48,1.0
1B,hybrid,forced_answer,hybrid__forced_answer,0.16666666666666666,0.04501533401840002,0.3076923076923077,0.25,48,48,1.0
1B,hybrid,instruction_constrained,hybrid__instruction_constrained,0.13333333333333333,0.03803630308158623,0.1111111111111111,0.2727272727272727,45,48,0.9375
1B,hybrid,role_prompting,hybrid__role_prompting,0.16666666666666666,,0.0,0.5,48,48,1.0
1B,hybrid,zero_shot,hybrid__zero_shot,0.14583333333333334,-0.16903085094570333,0.0,0.5,48,48,1.0
1B,numeric,forced_answer,numeric__forced_answer,0.16666666666666666,0.6546536707079772,0.0,,48,48,1.0
1B,numeric,instruction_constrained,numeric__instruction_constrained,0.1875,0.6104354368178058,0.1111111111111111,,48,48,1.0
1B,numeric,role_prompting,numeric__role_prompting,0.17647058823529413,0.8890548158845037,0.0,,17,48,0.3541666666666667
1B,numeric,zero_shot,numeric__zero_shot,0.42857142857142855,0.8720815992723809,0.5,,7,48,0.14583333333333334
3B,category,forced_answer,category__forced_answer,0.3333333333333333,0.7463651812378561,0.2222222222222222,,48,48,1.0
3B,category,instruction_constrained,category__instruction_constrained,0.375,0.7033505712358372,0.4,,48,48,1.0
3B,category,role_prompting,category__role_prompting,0.4583333333333333,0.7091101873825204,0.5454545454545454,,48,48,1.0
3B,category,zero_shot,category__zero_shot,0.3958333333333333,0.9085431806003588,0.45454545454545453,,48,48,1.0
3B,hybrid,forced_answer,hybrid__forced_answer,0.1875,0.594500086932336,0.0,0.34782608695652173,48,48,1.0
3B,hybrid,instruction_constrained,hybrid__instruction_constrained,0.1875,0.5744488923404557,0.0,0.3333333333333333,48,48,1.0
3B,hybrid,role_prompting,hybrid__role_prompting,0.2708333333333333,0.8699381665798708,0.0,0.6444444444444445,48,48,1.0
3B,hybrid,zero_shot,hybrid__zero_shot,0.2708333333333333,0.7925597115718263,0.0,0.5319148936170213,48,48,1.0
3B,numeric,forced_answer,numeric__forced_answer,0.22916666666666666,0.6815084941206236,0.0,,48,48,1.0
3B,numeric,instruction_constrained,numeric__instruction_constrained,0.2916666666666667,0.7339023132098744,0.0,,48,48,1.0
3B,numeric,role_prompting,numeric__role_prompting,0.3125,0.7165460259754693,0.0,,48,48,1.0
3B,numeric,zero_shot,numeric__zero_shot,0.3125,0.7683158096687842,0.0,,48,48,1.0
